date,SAN_BOUN20240501_C1_S1,SAN_BOUN20240501_C1_S2,SAN_BOUN20240501_C1_S3,SAN_BOUN20240501_C2_S1,SAN_BOUN20240501_C2_S2,SAN_BOUN20240501_C3_S1,SAN_BOUN20240501_C3_S2,SAN_BOUN20240501_C3_S3,SAN_BOUN20240501_C3_S4,SAN_BOUN20240501_C5A_S1,SAN_BOUN20240501_C5A_S2,SAN_BOUN20240501_C5A_S3,SAN_BOUN20240501_C5A_S4,SAN_BOUN20240501_C5A_S5,SAN_BOUN20240501_C5A_S6,SAN_BOUN20240501_C5A_S7,SAN_BOUN20240501_C5A_S8,SAN_BOUN20240501_C5B_S1,SAN_BOUN20240501_C5B_S2,SAN_BOUN20240501_C5B_S3,SAN_BOUN20240501_C5B_S4,SAN_BOUN20240501_C5B_S5,SAN_BOUN20240501_C5B_S6,SAN_BOUN20240501_C5B_S7,SAN_BOUN20240501_C5B_S8,SAN_BOUN20240501_C5C_S1,SAN_BOUN20240501_C5C_S2,SAN_BOUN20240501_C5C_S3,SAN_BOUN20240501_C5C_S4,SAN_BOUN20240501_C5C_S5,SAN_BOUN20240501_C5C_S6,SAN_BOUN20240501_C5C_S7,SAN_BOUN20240501_C5C_S8,SAN_BOUN20240501_C5D_S1,SAN_BOUN20240501_C5D_S2,SAN_BOUN20240501_C5D_S3,SAN_BOUN20240501_C5D_S4,SAN_BOUN20240501_C5D_S5,SAN_BOUN20240501_C5D_S6,SAN_BOUN20240501_C5D_S7,SAN_BOUN20240501_C5D_S8,SAN_BOUN20240501_C6A_S1,SAN_BOUN20240501_C6A_S2,SAN_BOUN20240501_C6A_S3,SAN_BOUN20240501_C6A_S4,SAN_BOUN20240501_C6A_S5,SAN_BOUN20240501_C6A_S6,SAN_BOUN20240501_C6A_S7,SAN_BOUN20240501_C6A_S8,SAN_BOUN20240501_C6B_S1,SAN_BOUN20240501_C6B_S2,SAN_BOUN20240501_C6B_S3,SAN_BOUN20240501_C6B_S4,SAN_BOUN20240501_C6B_S5,SAN_BOUN20240501_C6B_S6,SAN_BOUN20240501_C6B_S7,SAN_BOUN20240501_C6B_S8,SAN_BOUN20240501_C6C_S1,SAN_BOUN20240501_C6C_S2,SAN_BOUN20240501_C6C_S3,SAN_BOUN20240501_C6C_S4,SAN_BOUN20240501_C6C_S5,SAN_BOUN20240501_C6C_S6,SAN_BOUN20240501_C6C_S7,SAN_BOUN20240501_C6C_S8,SAN_BOUN20240501_C6D_S1,SAN_BOUN20240501_C6D_S2,SAN_BOUN20240501_C6D_S3,SAN_BOUN20240501_C6D_S4,SAN_BOUN20240501_C6D_S5,SAN_BOUN20240501_C6D_S6,SAN_BOUN20240501_C6D_S7,SAN_BOUN20240501_C6D_S8,SAN_BOUN20240501_C7_S1,SAN_BOUN20240501_C7_S2,SAN_BOUN20240501_C7_S3
1993-01-01,2.53,,1.6,0.29,11.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-04-01,2.22,,0.4,0.32,11.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-07-01,2.03,,0.7,0.29,11.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-10-01,1.38,,0.7,0.28,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-01-01,1.03,,0.5,0.32,11.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-04-01,1.21,,0.1,0.35,10.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-07-01,1.06,,0.4,0.35,10.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-01,2.06,,0.5,0.31,9.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-01-01,2.62,,0.9,0.38,9.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-04-01,1.96,,1,0.35,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-07-01,2.34,,0.9,0.35,9.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-10-01,2.22,,0.7,0.35,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-01,1.65,,0.5,0.37,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-01,2.98,,0.7,0.34,9.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-07-01,2.82,,1.1,0.35,9.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-10-01,2.05,,1.5,0.26,9.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-01-01,1.75,,1.3,0.24,9.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-01,0.55,,1.4,0.31,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-07-01,-0.03,,1.3,0.31,8.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-10-01,0.08,,1.6,0.31,8.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-01-01,1.4,1.2,2.1,0.32,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
